Data,obs,sim
1974-01-01,47.1310709677419,54.967978044025905
1974-02-01,19.5629392857142,27.25126138940168
1974-03-01,35.0649451612903,60.7367118699144
1974-04-01,18.2756933333333,15.368174917260323
1974-05-01,9.37466129032258,14.78965729874063
1974-06-01,6.28785,11.53166966024242
1974-07-01,4.8187129032258,9.852849790501642
1974-08-01,3.84097419354838,9.232173802118554
1974-09-01,2.23122666666666,7.269848147881829
1974-10-01,15.2038483870967,28.80709240048989
1974-11-01,25.6428633333333,31.654845496870884
1974-12-01,60.5984,59.06576060537693
1975-01-01,59.4744870967742,58.59090339132335
1975-02-01,24.1201142857142,24.265314740993503
1975-03-01,9.87445483870967,17.58503505622223
1975-04-01,28.2403666666666,46.339978437449005
1975-05-01,9.36812580645161,10.836999228794372
1975-06-01,6.25820333333333,8.929725204247411
1975-07-01,4.79269032258064,8.62348353827493
1975-08-01,3.41947741935483,7.339505403837788
1975-09-01,2.44622666666666,12.860110942669555
1975-10-01,27.284993548387,35.77835276827927
1975-11-01,70.0094,52.63206280667357
1975-12-01,26.6145580645161,26.146949105035745
1976-01-01,7.46833225806451,7.281902735983387
1976-02-01,27.1335862068965,30.36556642270742
1976-03-01,5.98825161290322,9.42443182427618
1976-04-01,3.05514,5.8722460160003065
1976-05-01,2.73024193548387,7.801100748669252
1976-06-01,1.86761666666666,4.2708019627041365
1976-07-01,1.56265483870967,4.006864047372117
1976-08-01,2.0475064516129,3.7187090084627905
1976-09-01,5.50185,8.90897155601259
1976-10-01,12.6473451612903,16.673992715449376
1976-11-01,52.2799866666666,40.023032446254796
1976-12-01,61.3557935483871,49.46183745666716
1977-01-01,76.8852612903225,76.58775714326639
1977-02-01,37.6072642857142,18.870858426920876
1977-03-01,10.0923451612903,9.91759439570744
1977-04-01,18.3472066666666,33.789009725487
1977-05-01,12.2684419354838,17.137220265181135
1977-06-01,8.18048666666666,8.342342513679077
1977-07-01,6.09316451612903,7.713917338959473
1977-08-01,3.69101612903225,6.937080497791773
1977-09-01,3.02155666666666,9.259582767593775
1977-10-01,5.6170064516129,12.889473514783726
1977-11-01,36.0594633333333,37.38232730141493
1977-12-01,38.6881193548387,34.1693697643355
1978-01-01,84.1523387096774,60.57956847681481
1978-02-01,143.652367857142,122.36224893682201
1978-03-01,90.5770258064516,57.78310584775057
1978-04-01,45.6860266666666,39.45236427951537
1978-05-01,29.9665677419354,30.964877951388306
1978-06-01,26.1818833333333,22.259345011510703
1978-07-01,19.524593548387,25.481050674721036
1978-08-01,12.2728806451612,12.997315697642238
1978-09-01,8.88138,15.261005017469229
1978-10-01,37.4045935483871,45.80158575907226
1978-11-01,34.57572,43.9137602681018
1978-12-01,76.8251612903225,73.6766890258707
1979-01-01,153.316293548387,238.04608695071798
1979-02-01,243.861892857142,263.4103485192856
1979-03-01,138.699148387096,125.41956429658869
1979-04-01,93.5965033333333,100.74345526065059
1979-05-01,44.3406032258064,43.562961437764976
1979-06-01,31.2533666666666,29.263640896887328
1979-07-01,24.8036612903225,25.90221116255449
1979-08-01,21.2445838709677,26.486852918180368
1979-09-01,16.77419,20.787683285675534
1979-10-01,26.5312193548387,54.072599891139156
1979-11-01,73.0841733333333,77.99798883120202
1979-12-01,100.050687096774,96.4484450117811
1980-01-01,168.205954838709,193.01868828855876
1980-02-01,175.894389655172,147.9656032989132
1980-03-01,74.5296225806451,46.045426777931524
1980-04-01,75.7679433333333,71.0776033151541
1980-05-01,38.2453709677419,25.723917033912908
1980-06-01,28.4814833333333,25.948033928531437
1980-07-01,22.477229032258,18.267314040061216
1980-08-01,16.686129032258,15.694444356121357
1980-09-01,14.0278466666666,15.553924229018278
1980-10-01,13.6064870967741,17.51207784003506
1980-11-01,30.51182,26.854871431579756
1980-12-01,80.6918419354838,79.69378883729962
1981-01-01,89.7650419354838,65.986285836252
1981-02-01,29.9966428571428,19.218216422196207
1981-03-01,86.9844032258064,130.17991499024583
1981-04-01,66.7176866666666,18.681059484397444
1981-05-01,29.1373032258064,14.90585165270501
1981-06-01,25.1897466666666,16.40519278406201
1981-07-01,18.5023806451612,12.804111678283002
1981-08-01,14.1556032258064,12.679449563693545
1981-09-01,10.2484166666666,9.50923803313375
1981-10-01,44.9142322580645,52.32091760103262
1981-11-01,125.967826666666,122.17617481923625
1981-12-01,75.9524870967741,62.99215454708487
1982-01-01,153.773274193548,166.74096837651746
1982-02-01,64.47,40.18865264014766
1982-03-01,105.551783870967,89.24679140424064
1982-04-01,56.6490366666666,43.549571084296964
1982-05-01,33.3495225806451,28.564676043622725
1982-06-01,23.8131366666666,17.421105943262162
1982-07-01,16.9533129032258,17.062486804772284
1982-08-01,13.8279774193548,14.173422616854335
1982-09-01,10.7437133333333,15.385251589276827
1982-10-01,11.6448258064516,21.41555038701445
1982-11-01,10.5951566666666,10.631980342170893
1982-12-01,16.8350741935483,30.151391801864335
1983-01-01,93.4212193548387,100.59615728258909
1983-02-01,90.2093535714285,88.20857457929002
1983-03-01,87.1755483870967,108.16420745067146
1983-04-01,55.7675866666666,31.36775966719744
1983-05-01,30.421493548387,25.859503703073255
1983-06-01,26.6358566666666,15.867207452094442
1983-07-01,21.3820516129032,16.78550408635507
1983-08-01,17.5291612903225,12.632930913799882
1983-09-01,14.0591466666666,11.457696632774075
1983-10-01,23.4756677419354,27.328915340509436
1983-11-01,79.1474666666666,83.08749487474815
1983-12-01,104.033838709677,81.18684534443062
1984-01-01,36.1348,40.523520803782056
1984-02-01,18.9876068965517,16.856590353666537
1984-03-01,35.8324161290322,47.32811769533545
1984-04-01,38.8896033333333,18.480857061516716
1984-05-01,16.6336129032258,9.710936583279485
1984-06-01,12.3754033333333,8.853288740201029
1984-07-01,10.7748838709677,8.15785519259091
1984-08-01,9.19802258064516,8.148394072681608
1984-09-01,14.8982933333333,11.738714849770432
1984-10-01,21.1733967741935,20.436739316657377
1984-11-01,39.75894,25.514447936262318
1984-12-01,84.1347677419354,38.1393948271674
1985-01-01,159.721961290322,182.16106527074808
1985-02-01,73.0830464285714,37.787271948386504
1985-03-01,94.8840548387096,76.17721869206783
1985-04-01,38.4596466666666,17.56136450198676
1985-05-01,22.0281,15.425659203747587
1985-06-01,15.9947133333333,13.439376166802356
1985-07-01,13.2855193548387,12.373074981734453
1985-08-01,11.9862709677419,14.41511585910786
1985-09-01,14.4045933333333,23.119330126141943
1985-10-01,38.7259354838709,33.06050285824624
1985-11-01,42.2892633333333,49.91317517802567
1985-12-01,105.626716129032,120.33391458754649
1986-01-01,133.266877419354,117.81208582486886
1986-02-01,35.8323035714285,40.963394321290544
1986-03-01,14.7506870967741,18.14398364969178
1986-04-01,9.78521666666666,19.72872726085856
1986-05-01,8.18460967741935,14.914981348362671
1986-06-01,6.45714999999999,11.422125221782528
1986-07-01,5.23543548387096,12.588051503558047
1986-08-01,4.82861612903225,9.529616432053759
1986-09-01,3.08746333333333,6.839510851462373
1986-10-01,2.56494516129032,8.337467578426676
1986-11-01,9.60201,20.44743972295916
1986-12-01,35.7713516129032,39.137615102436804
1987-01-01,22.9745,23.853188354803656
1987-02-01,4.75031071428571,6.457631292767041
1987-03-01,27.0282548387096,34.04273559040762
