,train,test
corr,0.9404150243616319,0.9019886187943172
RMSE,12.229748421308704,12.93437427420934
PBIAS,-4.635189060989182,-64.80599840003649
NSE,0.8828493750401354,0.58862807381805
KGE,0.8837405654946711,0.503879916072155
